0.0389 	0.0158 	0.0362 	0.0291 	0.1045 	0.0969 	0.1551 	0.1796 	0.0740 	0.0805 	0.0882 	0.1012 
0.0212 	0.0093 	0.0243 	0.0145 	0.0837 	0.0605 	0.2532 	0.1499 	0.0837 	0.0382 	0.1075 	0.1540 
0.0450 	0.0530 	0.0346 	0.0352 	0.0613 	0.1174 	0.1872 	0.1168 	0.0688 	0.0642 	0.1068 	0.1097 
0.0262 	0.0122 	0.0369 	0.0281 	0.1215 	0.0850 	0.1116 	0.1566 	0.1108 	0.0680 	0.1374 	0.1057 
0.0454 	0.0282 	0.0461 	0.0382 	0.1149 	0.0941 	0.1211 	0.1579 	0.0630 	0.0863 	0.0897 	0.1150 
0.0456 	0.0230 	0.0320 	0.0384 	0.1186 	0.1009 	0.1530 	0.1758 	0.0596 	0.0640 	0.0908 	0.0982 
0.0817 	0.0273 	0.0409 	0.0400 	0.0988 	0.0904 	0.1295 	0.1451 	0.0763 	0.0671 	0.0949 	0.1078 
0.0527 	0.0366 	0.0506 	0.0401 	0.1106 	0.1003 	0.1210 	0.1356 	0.0698 	0.0727 	0.0916 	0.1184 
0.0662 	0.0189 	0.0393 	0.0364 	0.0949 	0.0900 	0.1267 	0.1695 	0.0637 	0.0791 	0.1016 	0.1137 
0.0631 	0.0166 	0.0338 	0.0298 	0.1077 	0.1017 	0.1420 	0.1627 	0.0627 	0.0908 	0.0851 	0.1040 
0.0747 	0.0081 	0.0278 	0.0283 	0.0928 	0.0954 	0.1419 	0.1837 	0.0726 	0.0860 	0.0905 	0.0982 
0.0540 	0.0185 	0.0416 	0.0296 	0.0855 	0.0947 	0.1277 	0.1855 	0.0607 	0.1005 	0.0932 	0.1087 
0.0701 	0.0199 	0.0453 	0.0380 	0.0952 	0.1051 	0.1228 	0.1711 	0.0536 	0.0772 	0.0853 	0.1163 
0.0614 	0.0215 	0.0406 	0.0314 	0.0948 	0.0907 	0.1340 	0.1656 	0.0684 	0.0779 	0.0994 	0.1142 
0.0599 	0.0196 	0.0375 	0.0369 	0.0886 	0.0961 	0.1302 	0.1754 	0.0607 	0.0916 	0.0910 	0.1126 
0.0617 	0.0195 	0.0386 	0.0390 	0.0928 	0.0977 	0.1260 	0.1847 	0.0569 	0.0919 	0.0923 	0.0988 
0.0424 	0.0358 	0.0436 	0.0388 	0.0914 	0.0938 	0.1183 	0.1724 	0.0667 	0.1002 	0.0851 	0.1116 
0.0555 	0.0311 	0.0406 	0.0398 	0.0940 	0.1009 	0.1318 	0.1635 	0.0635 	0.0806 	0.0924 	0.1063 
0.0559 	0.0340 	0.0464 	0.0368 	0.0970 	0.0983 	0.1282 	0.1695 	0.0607 	0.0831 	0.0811 	0.1090 
0.0557 	0.0379 	0.0445 	0.0364 	0.0966 	0.0986 	0.1338 	0.1699 	0.0611 	0.0869 	0.0710 	0.1076 
0.0530 	0.0278 	0.0470 	0.0417 	0.0777 	0.0855 	0.1161 	0.1737 	0.0680 	0.0978 	0.0869 	0.1247 
0.0605 	0.0207 	0.0433 	0.0385 	0.0933 	0.1063 	0.1154 	0.1668 	0.0599 	0.0879 	0.0898 	0.1174 
0.0662 	0.0087 	0.0418 	0.0344 	0.0908 	0.1055 	0.1295 	0.1823 	0.0600 	0.0858 	0.0925 	0.1025 
0.0465 	0.0268 	0.0432 	0.0370 	0.0872 	0.0821 	0.1285 	0.1750 	0.0608 	0.1034 	0.0947 	0.1148 
0.0554 	0.0313 	0.0380 	0.0407 	0.0908 	0.1032 	0.1273 	0.1694 	0.0616 	0.0893 	0.0822 	0.1107 
0.0571 	0.0284 	0.0392 	0.0403 	0.0889 	0.0986 	0.1200 	0.1729 	0.0634 	0.0868 	0.0921 	0.1125 
0.0511 	0.0419 	0.0353 	0.0351 	0.0926 	0.0946 	0.1156 	0.1772 	0.0578 	0.0918 	0.0858 	0.1212 
0.0590 	0.0280 	0.0409 	0.0399 	0.0856 	0.0990 	0.1235 	0.1756 	0.0582 	0.0841 	0.0915 	0.1147 
0.0432 	0.0238 	0.0356 	0.0347 	0.0982 	0.0966 	0.1168 	0.1686 	0.0771 	0.0824 	0.0978 	0.1253 
0.0378 	0.0422 	0.0381 	0.0417 	0.0961 	0.0996 	0.1278 	0.1677 	0.0570 	0.0873 	0.0840 	0.1207 
0.0399 	0.0415 	0.0373 	0.0414 	0.0907 	0.1001 	0.1283 	0.1701 	0.0589 	0.0840 	0.0807 	0.1271 
0.0413 	0.0359 	0.0403 	0.0332 	0.0899 	0.0872 	0.1268 	0.1759 	0.0703 	0.0890 	0.0883 	0.1218 
0.0707 	0.0247 	0.0367 	0.0243 	0.1079 	0.0874 	0.1383 	0.1581 	0.0740 	0.0845 	0.1068 	0.0866 
0.0557 	0.0222 	0.0354 	0.0345 	0.1000 	0.0983 	0.1263 	0.1582 	0.0733 	0.0875 	0.0859 	0.1228 
0.0630 	0.0232 	0.0417 	0.0374 	0.1011 	0.0887 	0.1231 	0.1761 	0.0696 	0.0809 	0.0900 	0.1053 
0.0547 	0.0269 	0.0376 	0.0325 	0.0992 	0.0862 	0.1177 	0.1913 	0.0683 	0.0843 	0.0964 	0.1049 
0.0786 	0.0455 	0.0559 	0.0585 	0.0962 	0.0790 	0.1110 	0.1556 	0.0531 	0.0694 	0.0968 	0.1004
